customer_id,product_id,product_amount
0,0,121
0,8,114
0,1,105
0,3,103
0,9,92
0,5,90
0,4,89
0,10,55
0,6,50
0,2,30
1,9,125
1,4,108
1,3,94
1,5,92
1,10,75
1,7,71
1,6,56
1,8,50
1,2,48
1,1,46
2,10,111
2,6,94
2,3,86
2,7,83
2,2,81
2,1,78
2,0,65
2,5,54
2,9,54
2,4,51
3,4,165
3,5,123
3,7,116
3,1,113
3,2,70
3,0,57
3,10,57
3,8,48
3,9,47
3,3,36
4,8,143
4,5,114
4,10,112
4,4,111
4,0,106
4,7,101
4,1,100
4,2,98
4,6,68
4,3,67
5,10,165
5,6,134
5,0,123
5,5,111
5,4,106
5,8,100
5,9,65
5,7,59
5,3,57
5,1,47
6,5,140
6,1,128
6,10,109
6,3,91
6,0,89
6,2,66
6,7,53
6,8,44
6,6,36
6,4,30
7,0,142
7,9,124
7,5,111
7,10,101
7,1,97
7,3,92
7,4,84
7,6,64
7,7,64
7,2,63
8,8,119
8,4,114
8,6,102
8,2,100
8,7,89
8,9,89
8,5,73
8,10,68
8,3,66
8,1,61
9,3,157
9,9,143
9,1,131
9,7,130
9,10,114
9,2,109
9,5,103
9,8,87
9,0,85
9,6,66
10,6,170
10,7,145
10,1,130
10,0,100
10,10,91
10,3,83
10,9,83
10,8,63
10,4,57
10,5,54
